label,text
ham,Let us catch up later today.
ham,We have moved the call to 1 PM.
spam,Lose weight in 5 days!
spam,Get rich quick with this simple trick. No credit card required.
ham,Let us catch up later today.
ham,Reminder: Appointment tomorrow.
spam,Get rich quick with this simple trick. Terms and conditions apply.
spam,Claim your bonus now and get cash reward instantly.
ham,Lunch at 2:30 PM?
ham,Your order is due tomorrow. Kind reminder for the schedule.
spam,You are a lucky winner! Terms and conditions apply.
ham,The package will arrive on Tuesday. Please let me know if that works.
ham,Your bill has been generated.
spam,Make money fast!
spam,Click here to claim your voucher.
ham,Please verify your attendance for workshop. Attached is the latest file.
spam,Lose weight in 3 days! Offer valid for today only.
ham,Let us catch up next week. Please let me know if that works.
spam,Limited time offer!
spam,Click here to claim your lottery.
spam,Last chance to save big today! Reply stop to unsubscribe.
spam,Urgent! Verify your account now.
spam,Claim your bonus now and get free trip instantly. Reply stop to unsubscribe.
ham,Your bill has been generated.
spam,Congratulations! You won a free trip!
spam,"Earn Rs. 50,000 per week from home!"
ham,Your bill has been generated. Attached is the latest file.
spam,Get rich quick with this simple trick.
ham,Project deadline extended to next week.
ham,Your bill has been generated.
ham,The package will arrive on Tuesday.
ham,Your bill has been generated.
spam,Claim your bonus now and get voucher instantly. Offer valid for today only.
ham,The package will arrive on Monday. Please let me know if that works.
ham,Please review the attached agenda. Thanks for the update.
spam,Exclusive deal just for you! This is a limited time promotion.
spam,Congratulations! You won a cash reward!
spam,Claim your bonus now and get bonus instantly. Terms and conditions apply.
ham,Meeting notes from on Monday are attached. Attached is the latest file.
ham,Project deadline extended to next week. Attached is the latest file.
spam,Congratulations! You won a free trip!
ham,Lunch at 10 AM? Thanks for the update.
ham,Reminder: Appointment this Friday.
spam,Act now to unlock your reward.
ham,Project deadline extended to tomorrow. Attached is the latest file.
ham,Reminder: Appointment tomorrow.
spam,Claim your bonus now and get bonus instantly. Offer valid for today only.
ham,Let us catch up on Saturday.
spam,"Earn Rs. 2,00,000 per week from home!"
ham,Lunch at 9 AM? Kind reminder for the schedule.
ham,Your bill has been generated. Kind reminder for the schedule.
ham,Please verify your attendance for workshop.
spam,Urgent! Verify your account now.
ham,Lunch at 9 AM? Attached is the latest file.
spam,Free coupon waiting!
spam,Free access to premium content.
ham,Meeting notes from on Monday are attached.
ham,Please verify your attendance for team meeting.
spam,Exclusive deal just for you!
spam,Click here to claim your voucher. This is a limited time promotion.
spam,Urgent! Verify your account now. Reply stop to unsubscribe.
spam,Click here to claim your cash reward. Reply stop to unsubscribe.
ham,The interview starts at 1 PM.
ham,Could you share the updated invoice? Please let me know if that works.
spam,"Earn Rs. 1,00,000 per week from home! Offer valid for today only."
spam,Exclusive deal just for you! No credit card required.
ham,Could you share the updated presentation? Kind reminder for the schedule.
ham,Could you share the updated agenda?
ham,Project deadline extended to on Tuesday.
ham,Lunch at 2:30 PM?
spam,Urgent! Verify your account now.
ham,The interview starts at 1 PM.
ham,The seminar starts at 9 AM.
ham,Meeting notes from tomorrow are attached.
ham,Reminder: Appointment tomorrow.
ham,We have moved the call to this afternoon. See you soon.
ham,Could you share the updated document? Thanks for the update.
ham,Please review the attached document. See you soon.
ham,Your order is due tomorrow.
spam,Act now to unlock your reward.
spam,Exclusive deal just for you!
ham,Meeting notes from this Friday are attached.
ham,Project deadline extended to on Tuesday. Attached is the latest file.
ham,We have moved the call to 9 AM. See you soon.
spam,Act now to unlock your reward.
spam,Last chance to save big today!
ham,Reminder: Appointment next week.
ham,Your bill has been generated. Thanks for the update.
spam,Get rich quick with this simple trick.
spam,Make money fast!
spam,Click here to claim your cash reward. No credit card required.
spam,Click here to claim your voucher. Terms and conditions apply.
ham,Please review the attached agenda.
spam,Get rich quick with this simple trick.
ham,Please verify your attendance for client call. See you soon.
ham,Reminder: Appointment next week.
spam,Lose weight in 5 days!
ham,Your OTP is 975310. Attached is the latest file.
spam,"Earn Rs. 75,000 per week from home!"
spam,You are a lucky winner! This is a limited time promotion.
ham,Please verify your attendance for client call. Thanks for the update.
ham,Could you share the updated agenda? Attached is the latest file.
ham,Meeting at 10 AM next week.
ham,Lunch at 1 PM? Attached is the latest file.
ham,The seminar starts at tomorrow morning.
ham,Let us catch up next week.
ham,Meeting at 2:30 PM on Tuesday.
spam,Act now to unlock your reward. Reply stop to unsubscribe.
ham,Meeting at 1 PM on Monday.
ham,Project deadline extended to on Tuesday. Attached is the latest file.
ham,Please review the attached agenda. See you soon.
ham,Meeting at tomorrow morning tomorrow.
spam,Click here to claim your lottery.
spam,Make money fast!
spam,Act now to unlock your reward.
spam,Free access to premium content.
ham,Meeting at tomorrow morning this Friday.
ham,Your order is due tomorrow.
ham,Your bill has been generated. Please let me know if that works.
ham,The package will arrive on Tuesday.
ham,Please verify your attendance for team meeting. Attached is the latest file.
spam,Free voucher waiting! Reply stop to unsubscribe.
spam,Free access to premium content. This is a limited time promotion.
spam,Congratulations! You won a voucher!
spam,"Earn Rs. 75,000 per week from home!"
ham,Your OTP is 246810.
spam,Free access to premium content.
spam,Free access to premium content.
ham,Please review the attached invoice. See you soon.
spam,Free voucher waiting!
ham,Please verify your attendance for client call.
spam,Make money fast!
spam,Lose weight in 5 days!
ham,Your bill has been generated.
ham,We have moved the call to 5 PM.
ham,We have moved the call to 5 PM. See you soon.
ham,We have moved the call to 1 PM. See you soon.
ham,Meeting at 2:30 PM this Friday. Thanks for the update.
ham,Let us catch up after lunch.
ham,Your OTP is 123456. Kind reminder for the schedule.
ham,Your OTP is 678901.
spam,Last chance to save big today!
spam,Make money fast! This is a limited time promotion.
ham,Could you share the updated agenda?
spam,Get rich quick with this simple trick.
spam,Click here to claim your gift card.
spam,Claim your bonus now and get cash reward instantly. Offer valid for today only.
spam,Click here to claim your gift card.
spam,Make money fast! No credit card required.
spam,Exclusive deal just for you!
ham,Please verify your attendance for client call.
ham,Meeting at this afternoon tomorrow. See you soon.
ham,Reminder: Appointment on Tuesday.
ham,The seminar starts at tomorrow morning.
spam,Lose weight in 10 days!
spam,Make money fast!
ham,Let us catch up on Saturday. Please let me know if that works.
spam,Click here to claim your cash reward. No credit card required.
ham,Please verify your attendance for lecture.
spam,Make money fast! No credit card required.
spam,Claim your bonus now and get free trip instantly.
spam,Urgent! Verify your account now. No credit card required.
spam,Act now to unlock your reward. No credit card required.
spam,Limited time offer!
ham,Let us catch up later today.
spam,Free access to premium content.
spam,Lose weight in 5 days!
ham,Your bill has been generated. Kind reminder for the schedule.
